id	source_product_card_id	source_category	source_name	source_url	retrieval_query_or_path	observed_at	revisit_cadence	stored_evidence_summary	evidence_strength
archive_crossbeam_seed_article	anthropic_hackathon_crossbeam	hackathon_winner	Anthropic hackathon coverage	https://nypost.com/2026/02/27/business/anthropic-hackathon-proves-vibe-coding-is-here-to-stay/	local product_research_dataset seed	2026-06-26	monthly	A lawyer used AI coding tools to turn ADU permitting friction into a product.	medium
archive_postvisit_seed_article	anthropic_hackathon_postvisit	hackathon_winner	Anthropic hackathon coverage	https://nypost.com/2026/02/27/business/anthropic-hackathon-proves-vibe-coding-is-here-to-stay/	local product_research_dataset seed	2026-06-26	monthly	Doctor-built hackathon product for explaining post-visit diagnosis and treatment information.	medium
archive_road_footage_seed_article	anthropic_hackathon_road_footage_investment	hackathon_winner	Anthropic hackathon coverage	https://nypost.com/2026/02/27/business/anthropic-hackathon-proves-vibe-coding-is-here-to-stay/	local product_research_dataset seed	2026-06-26	monthly	Hackathon product turns road footage into infrastructure investment recommendations.	medium
archive_rake_optimization_seed_article	smart_india_rake_optimization	hackathon_winner	Smart India Hackathon coverage	https://timesofindia.indiatimes.com/city/allahabad/iiit-a-team-wins-1st-prize-in-smart-india-hackathon/articleshow/126552451.cms	local product_research_dataset seed	2026-06-26	monthly	AI decision support for smart railway rake planning.	medium
archive_generative_band_seed_article	anthropic_hackathon_generative_band	hackathon_winner	Anthropic hackathon coverage	https://nypost.com/2026/02/27/business/anthropic-hackathon-proves-vibe-coding-is-here-to-stay/	NY Post Anthropic hackathon coverage	2026-06-26	monthly	NY Post coverage frames the Anthropic hackathon as a vibe-coding showcase and includes the generative AI band as a creative example.	medium
archive_sp_tradingagents	sp_tradingagents	github_high_star	github_high_star	https://github.com/TauricResearch/TradingAgents	github_high_star	2026-06-26T00:00:00.000Z	weekly	A multi-agent framework that turns market analysis into a specialist team workflow.	high
archive_github_career_ops	github_career_ops	github_rising	github_rising	https://github.com/santifer/career-ops	github_rising	2026-06-27T03:10:00.000Z	weekly	Turns a job hunt into a multi-mode operations dashboard.	medium
archive_github_daily_stock_analysis	github_daily_stock_analysis	github_rising	github_rising	https://github.com/ZhuLinsen/daily_stock_analysis	github_rising	2026-06-27T03:10:00.000Z	weekly	Turns daily market inputs into an automated analysis and notification routine.	medium
archive_github_agent_reach	github_agent_reach	github_rising	github_rising	https://github.com/Panniantong/Agent-Reach	github_rising	2026-06-27T03:10:00.000Z	weekly	Gives an agent a common reading layer across social and developer sites.	medium
archive_github_opencli	github_opencli	github_rising	github_rising	https://github.com/jackwener/OpenCLI	github_rising	2026-06-27T03:10:00.000Z	weekly	Makes browser state controllable through command-like agent actions.	medium
